,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
36,37,37,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0362401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024218,2024218,2024,89,6539,3343,3343,0,4004,0.0099,33770,55.8,0.511,1.5,-99,-99,-99,-99,-99,0,0,389,353,90,263,2,46,54,1,40,-99,97,1,17,71,93,81,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110481,110480,977,0.0,26.1,27.2,72.4,-99,13.4,13.9,37.0,-99,163.5,67.4,83.6,34.5,100,20.8,10.9,18.3,16.2,420.5,250.2,240.7,-99,-99,2024-08-05
37,38,38,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0372401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024222,2024222,2024,89,8129,3411,3411,0,4072,0.0101,33773,55.8,0.42,1.5,-99,-99,-99,-99,-99,0,0,510,369,103,266,24,104,78,1,40,-99,109,4,8,79,104,92,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110410,110408,1049,0.0,21.9,31.7,78.8,-99,9.2,13.3,33.1,-99,203.2,74.7,85.3,31.4,104,19.9,10.5,17.1,16.1,420.5,370.8,256.7,-99,-99,2024-08-09
38,39,39,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0382401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024224,2024224,2024,89,6592,3411,3411,0,4072,0.0101,33773,55.8,0.517,1.5,-99,-99,-99,-99,-99,0,0,407,356,90,266,6,49,62,1,40,-99,101,1,11,72,97,85,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12796,0,0,110485,110484,973,0.0,24.6,27.0,72.9,-99,12.7,14.0,37.7,-99,164.8,65.4,85.3,33.8,106,19.8,10.2,18.0,16.1,420.5,267.8,244.0,-99,-99,2024-08-11
39,40,40,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0392401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024223,2024223,2024,89,9322,3411,3411,0,4072,0.0101,33774,55.8,0.366,1.5,-99,-99,-99,-99,-99,0,0,426,385,119,266,7,66,34,1,40,-99,105,3,12,79,100,88,0.104,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110412,110410,1047,0.0,32.4,34.1,78.2,-99,11.9,12.5,28.6,-99,233.1,89.2,85.3,32.6,105,20.0,10.4,18.2,16.1,420.5,287.5,273.0,-99,-99,2024-08-10
40,41,41,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0402401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024222,2024222,2024,89,7189,3411,3411,0,4072,0.0101,33774,55.8,0.474,1.5,-99,-99,-99,-99,-99,0,0,423,364,99,265,4,46,75,1,40,-99,105,1,11,75,101,89,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12793,12793,0,0,110442,110440,1017,0.0,25.3,28.6,72.8,-99,12.0,13.6,34.5,-99,179.7,68.4,85.3,32.5,104,20.1,10.7,17.4,16.1,420.5,283.9,251.4,-99,-99,2024-08-09
41,42,42,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0412401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024222,2024222,2024,89,7063,3411,3411,0,4072,0.0101,33773,55.8,0.483,1.5,-99,-99,-99,-99,-99,0,0,322,336,88,249,1,46,4,1,40,-99,73,1,28,62,69,57,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12806,0,0,110600,110598,858,0.0,38.6,31.5,80.7,-99,18.7,15.2,39.0,-99,176.6,96.6,85.3,46.7,104,20.0,10.3,18.7,16.1,420.5,182.9,224.0,-99,-99,2024-08-09
42,43,43,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0422401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024220,2024220,2024,89,7526,3411,3411,0,4072,0.0101,33772,55.8,0.453,1.5,-99,-99,-99,-99,-99,0,0,351,356,100,256,2,46,13,1,40,-99,89,1,21,70,85,73,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110499,110498,959,0.0,35.5,30.9,75.2,-99,16.1,14.0,34.1,-99,188.1,84.7,85.3,38.4,102,20.3,10.7,18.4,16.2,420.5,212.2,243.5,-99,-99,2024-08-07
43,44,44,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0432401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024224,2024224,2024,89,9254,3379,3379,0,4040,0.01,33774,55.8,0.365,1.5,-99,-99,-99,-99,-99,0,0,460,386,113,273,4,73,63,1,40,-99,112,3,9,83,107,95,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12785,12785,0,0,110363,110361,1096,0.0,28.8,33.9,82.0,-99,10.5,12.4,29.9,-99,231.4,82.9,84.5,30.3,106,19.9,10.3,17.5,16.1,420.5,321.2,273.2,-99,-99,2024-08-11
44,45,45,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0442401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024222,2024222,2024,89,8510,3411,3411,0,4072,0.0101,33773,55.8,0.401,1.5,-99,-99,-99,-99,-99,0,0,388,378,113,265,2,46,28,1,40,-99,107,1,12,79,103,91,0.096,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12788,0,0,110399,110398,1059,0.0,34.1,32.1,75.3,-99,13.7,12.9,30.2,-99,212.7,79.4,85.3,31.8,104,20.1,10.5,17.6,16.1,420.5,249.2,265.4,-99,-99,2024-08-09
45,46,46,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0452401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024220,2024220,2024,89,6214,3411,3411,0,4072,0.0101,33772,55.8,0.549,1.5,-99,-99,-99,-99,-99,0,0,431,350,83,267,12,46,90,1,40,-99,86,1,22,66,82,70,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12802,12802,0,0,110545,110544,913,0.0,21.3,26.1,75.2,-99,11.7,14.3,41.3,-99,155.3,72.2,85.3,39.6,102,20.4,10.7,18.2,16.2,420.5,292.4,237.8,-99,-99,2024-08-07
46,47,47,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0462401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024221,2024221,2024,89,8744,3390,3390,0,4051,0.01,33773,55.8,0.388,1.5,-99,-99,-99,-99,-99,0,0,411,374,111,263,9,46,48,1,40,-99,111,1,11,82,107,95,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12786,12786,0,0,110375,110373,1084,0.0,32.1,33.4,78.7,-99,12.5,13.0,30.5,-99,218.6,78.6,84.8,30.5,103,20.4,10.7,17.4,16.1,420.5,272.2,261.6,-99,-99,2024-08-08
47,48,48,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0472401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024223,2024223,2024,89,6429,3342,3342,0,4003,0.0099,33776,55.8,0.52,1.5,-99,-99,-99,-99,-99,0,0,400,347,87,260,17,46,57,1,40,-99,82,1,25,66,78,66,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12802,12802,0,0,110547,110545,911,0.0,24.6,27.4,74.0,-99,12.8,14.3,38.5,-99,160.7,78.2,83.6,40.7,105,19.9,10.2,18.1,16.1,420.5,261.6,234.4,-99,-99,2024-08-10
48,49,49,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0482401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024225,2024225,2024,89,8775,3170,3170,0,3831,0.0094,33774,55.8,0.361,1.5,-99,-99,-99,-99,-99,0,0,434,378,109,269,3,46,74,1,40,-99,109,1,10,78,104,92,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12790,12790,0,0,110405,110404,1053,0.0,29.7,33.1,80.6,-99,10.7,11.9,29.1,-99,219.4,80.6,79.2,29.1,107,19.9,10.0,17.7,16.1,420.5,295.4,265.4,-99,-99,2024-08-12
49,50,50,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0492401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024224,2024224,2024,89,9652,3411,3411,0,4072,0.0101,33776,55.8,0.353,1.5,-99,-99,-99,-99,-99,0,0,449,390,117,273,5,49,72,1,40,-99,113,1,9,81,108,96,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110379,110377,1080,0.0,31.1,34.8,82.4,-99,11.0,12.3,29.1,-99,241.3,85.7,85.3,30.3,106,19.6,10.2,18.1,16.1,420.5,310.2,277.4,-99,-99,2024-08-11
50,51,51,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0502401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024222,2024222,2024,89,9108,3411,3411,0,4072,0.0101,33775,55.8,0.375,1.5,-99,-99,-99,-99,-99,0,0,498,382,114,269,13,92,77,1,40,-99,110,3,8,80,106,94,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12788,12788,0,0,110398,110396,1061,0.0,25.3,33.7,80.1,-99,9.5,12.6,30.0,-99,227.7,82.5,85.3,30.9,104,20.0,10.4,17.6,16.1,420.5,359.5,270.1,-99,-99,2024-08-09
51,52,52,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0512401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024221,2024221,2024,89,6939,3411,3411,0,4072,0.0101,33772,55.8,0.492,1.5,-99,-99,-99,-99,-99,0,0,343,353,97,257,1,46,9,1,40,-99,89,1,21,70,85,73,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110504,110502,955,0.0,33.9,28.8,71.8,-99,16.7,14.2,35.3,-99,173.5,78.2,85.3,38.5,103,20.2,10.6,18.5,16.1,420.5,204.7,240.9,-99,-99,2024-08-08
52,53,53,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0522401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024223,2024223,2024,89,6249,3411,3411,0,4072,0.0101,33773,55.8,0.546,1.5,-99,-99,-99,-99,-99,0,0,349,335,80,255,1,46,33,1,40,-99,71,1,31,60,67,55,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110621,110620,837,0.0,29.7,28.1,78.5,-99,16.2,15.3,42.8,-99,156.2,87.6,85.3,47.8,105,19.9,10.4,18.3,16.1,420.5,210.4,222.7,-99,-99,2024-08-10
53,54,54,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0532401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024222,2024222,2024,89,6304,3411,3411,0,4072,0.0101,33773,55.8,0.541,1.5,-99,-99,-99,-99,-99,0,0,331,337,85,252,1,46,13,1,40,-99,75,1,27,63,71,59,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12805,0,0,110583,110581,875,0.0,32.7,28.0,73.8,-99,17.7,15.2,39.9,-99,157.6,83.9,85.3,45.4,104,20.0,10.4,18.7,16.1,420.5,192.5,224.8,-99,-99,2024-08-09
