,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
226,227,29,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2262401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024228,2024228,2024,89,8170,3880,3880,0,4475,0.0186,20860,35.6,0.475,1.4,-99,-99,-99,-99,-99,0,0,514,392,111,280,18,112,59,1,40,-99,111,9,7,86,106,94,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12782,12782,0,0,110312,110307,1154,0.0,21.7,30.6,73.3,-99,10.3,14.5,34.8,-99,204.2,73.6,97.0,35.0,101,20.5,11.3,17.3,16.2,420.5,376.2,267.3,-99,-99,2024-08-15
227,228,30,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2272401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024226,2024226,2024,89,7825,3880,3880,0,4475,0.0186,20860,35.6,0.496,1.4,-99,-99,-99,-99,-99,0,0,395,378,113,264,7,51,26,1,40,-99,91,3,18,72,86,74,0.106,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12796,0,0,110481,110475,985,0.0,30.4,30.9,69.0,-99,15.1,15.3,34.2,-99,195.6,86.0,97.0,42.6,99,20.8,11.4,17.8,16.2,420.5,257.0,253.1,-99,-99,2024-08-13
228,229,31,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2282401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024228,2024228,2024,89,5989,3482,3482,0,4077,0.0167,20860,35.6,0.581,1.4,-99,-99,-99,-99,-99,0,0,392,349,80,268,3,30,76,1,40,-99,78,0,29,67,72,60,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12801,0,0,110509,110504,956,0.0,23.6,26.7,74.8,-99,13.7,15.5,43.5,-99,149.7,77.2,87.1,44.9,101,20.6,11.2,17.6,16.2,420.5,253.8,224.0,-99,-99,2024-08-15
229,230,32,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2292401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024223,2024223,2024,89,7311,3880,3880,0,4475,0.0186,20859,35.6,0.531,1.4,-99,-99,-99,-99,-99,0,0,370,370,103,266,2,30,35,1,40,-99,109,0,11,80,105,92,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12788,12788,0,0,110379,110373,1087,0.0,31.5,29.8,70.7,-99,16.7,15.8,37.5,-99,182.8,67.0,97.0,35.5,96,21.3,11.9,17.6,16.2,420.5,232.1,245.3,-99,-99,2024-08-10
230,231,33,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2302401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024226,2024226,2024,89,5465,2962,2962,0,3556,0.0142,20859,35.6,0.542,1.4,-99,-99,-99,-99,-99,0,0,312,337,76,261,0,30,11,1,40,-99,65,0,36,62,60,48,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12806,0,0,110586,110580,879,0.0,31.5,25.8,72.2,-99,17.1,14.0,39.1,-99,136.6,84.3,74.0,45.7,99,21.0,11.5,18.1,16.2,420.5,173.6,212.2,-99,-99,2024-08-13
231,232,34,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2312401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024225,2024225,2024,89,7818,3880,3880,0,4475,0.0186,20859,35.6,0.496,1.4,-99,-99,-99,-99,-99,0,0,451,383,107,276,27,49,59,1,40,-99,114,2,8,83,109,97,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12785,12785,0,0,110347,110342,1118,0.0,25.0,30.2,73.2,-99,12.4,15.0,36.3,-99,195.5,68.7,97.0,34.1,98,21.1,11.6,17.7,16.2,420.5,313.2,258.5,-99,-99,2024-08-12
232,233,35,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2322401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024230,2024230,2024,89,8487,3877,3877,0,4471,0.0186,20860,35.6,0.457,1.4,-99,-99,-99,-99,-99,0,0,509,390,111,279,23,94,67,1,40,-99,115,4,6,84,110,97,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12784,12784,0,0,110329,110324,1137,0.0,22.9,31.9,76.4,-99,10.5,14.6,34.9,-99,212.2,74.1,96.9,33.9,103,20.3,11.0,16.8,16.1,420.5,370.9,265.8,-99,-99,2024-08-17
233,234,36,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2332401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024232,2024232,2024,89,7510,3880,3880,0,4475,0.0186,20860,35.6,0.517,1.4,-99,-99,-99,-99,-99,0,0,501,382,104,279,23,65,97,1,40,-99,109,4,9,81,105,92,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110372,110367,1093,0.0,20.7,29.1,72.6,-99,10.7,15.1,37.5,-99,187.8,68.8,97.0,35.5,105,19.9,10.6,17.4,16.1,420.5,362.6,257.8,-99,-99,2024-08-19
234,235,37,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2342401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024223,2024223,2024,89,7696,3880,3880,0,4475,0.0186,20859,35.6,0.504,1.4,-99,-99,-99,-99,-99,0,0,388,378,106,272,2,30,45,1,40,-99,111,0,12,81,106,94,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110363,110357,1103,0.0,30.8,30.4,72.6,-99,15.5,15.3,36.6,-99,192.4,69.3,97.0,34.9,96,21.4,11.9,18.1,16.2,420.5,250.2,253.1,-99,-99,2024-08-10
235,236,38,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2352401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024224,2024224,2024,89,8250,3880,3880,0,4474,0.0186,20859,35.6,0.47,1.4,-99,-99,-99,-99,-99,0,0,378,383,115,269,4,30,26,1,40,-99,103,0,15,78,99,86,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12790,12790,0,0,110402,110397,1063,0.0,34.3,31.9,72.0,-99,16.2,15.0,33.9,-99,206.2,79.8,97.0,37.5,97,21.3,11.7,18.3,16.2,420.5,240.2,259.0,-99,-99,2024-08-11
