,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
304,305,8,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024220,2024220,2024,89,7126,3879,3879,0,4724,0.0179,21725,29.1,0.544,2.5,-99,-99,-99,-99,-99,0,0,332,339,105,233,1,44,15,1,40,-99,86,0,17,63,80,63,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12805,0,0,110611,110604,857,0.0,37.1,30.6,67.6,-99,20.2,16.7,36.8,-99,178.2,82.9,97.0,45.1,104,19.9,10.5,18.9,16.1,420.5,191.9,232.7,-99,-99,2024-08-07
305,306,9,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024223,2024223,2024,89,7431,4168,4168,0,5012,0.0192,21726,29.1,0.561,2.5,-99,-99,-99,-99,-99,0,0,371,361,119,243,2,44,30,1,40,-99,103,0,9,72,96,79,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12796,0,0,110518,110512,950,0.0,32.3,29.1,62.7,-99,18.1,16.3,35.1,-99,185.8,72.4,104.2,40.6,107,19.3,10.2,17.8,16.1,420.5,230.3,255.1,-99,-99,2024-08-10
306,307,10,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024223,2024223,2024,89,10120,4345,4345,0,5189,0.02,21725,29.1,0.429,2.5,-99,-99,-99,-99,-99,0,0,444,387,150,237,21,46,57,1,40,-99,103,1,9,70,97,80,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110542,110536,926,0.0,33.3,36.1,67.6,-99,14.3,15.5,29.0,-99,253.0,98.1,108.6,42.1,107,19.3,10.1,18.4,16.1,420.5,303.9,280.7,-99,-99,2024-08-10
307,308,11,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024225,2024225,2024,89,10105,4286,4286,0,5131,0.0197,21727,29.1,0.424,2.5,-99,-99,-99,-99,-99,0,0,461,388,146,242,8,62,69,1,40,-99,112,1,5,78,106,89,0.083,-99,-99,-99,-99,-99,-99,-99,-99,0,12791,12790,0,0,110456,110451,1011,0.0,31.5,35.8,69.1,-99,13.4,15.2,29.3,-99,252.6,90.3,107.2,38.3,109,18.9,9.9,17.8,16.1,420.5,320.5,281.9,-99,-99,2024-08-12
308,309,12,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024222,2024222,2024,89,7547,4287,4287,0,5131,0.0197,21727,29.1,0.568,2.5,-99,-99,-99,-99,-99,0,0,386,361,120,242,5,44,42,1,40,-99,106,0,9,75,100,83,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12793,0,0,110488,110482,980,0.0,30.7,29.5,63.0,-99,17.4,16.8,35.8,-99,188.7,71.2,107.2,40.4,106,19.6,10.4,17.8,16.1,420.5,245.9,255.4,-99,-99,2024-08-09
309,310,13,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024222,2024222,2024,89,8810,4345,4345,0,5189,0.02,21723,29.1,0.493,2.5,-99,-99,-99,-99,-99,0,0,362,361,127,234,5,44,18,1,40,-99,98,0,11,69,92,75,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110556,110550,911,0.0,39.7,34.6,69.3,-99,19.6,17.0,34.2,-99,220.2,89.8,108.6,44.3,106,19.5,10.3,18.3,16.1,420.5,221.8,255.0,-99,-99,2024-08-09
310,311,14,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3102401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024227,2024227,2024,89,9728,4345,4345,0,5190,0.02,21727,29.1,0.447,2.5,-99,-99,-99,-99,-99,0,0,403,387,147,240,5,44,33,1,40,-99,112,0,6,78,105,88,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12790,12790,0,0,110450,110444,1018,0.0,37.0,34.6,66.2,-99,16.5,15.5,29.6,-99,243.2,87.1,108.6,38.9,111,18.7,9.8,17.9,16.1,420.5,263.0,281.1,-99,-99,2024-08-14
311,312,15,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3112401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024221,2024221,2024,89,7767,4342,4342,0,5187,0.02,21723,29.1,0.559,2.5,-99,-99,-99,-99,-99,0,0,346,352,113,239,1,44,15,1,40,-99,92,0,17,69,86,69,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110544,110538,924,0.0,37.8,31.6,68.7,-99,21.2,17.6,38.4,-99,194.2,84.3,108.6,47.1,105,19.7,10.5,17.9,16.1,420.5,205.3,246.1,-99,-99,2024-08-08
312,313,16,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3122401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024229,2024229,2024,89,10442,4271,4271,0,5115,0.0197,21729,29.1,0.409,2.5,-99,-99,-99,-99,-99,0,0,472,385,146,239,10,70,74,1,40,-99,114,1,5,81,108,91,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110422,110417,1046,0.0,31.5,37.4,71.7,-99,12.9,15.3,29.3,-99,261.0,91.4,106.8,37.4,113,18.7,9.7,16.7,16.1,420.5,332.0,278.9,-99,-99,2024-08-16
313,314,17,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3132401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024222,2024222,2024,89,9480,4345,4345,0,5189,0.02,21725,29.1,0.458,2.5,-99,-99,-99,-99,-99,0,0,401,386,144,242,8,44,30,1,40,-99,105,0,10,74,98,81,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12794,0,0,110495,110489,973,0.0,36.3,33.9,65.8,-99,16.6,15.5,30.2,-99,237.0,90.6,108.6,41.5,106,19.4,10.3,18.1,16.1,420.5,261.0,279.8,-99,-99,2024-08-09
